Nr probki	Sygnal pomiarowy
562	2,06787109
563	2,04345703
564	2,06054688
565	2,09228516
566	2,13134766
567	2,14599609
568	2,10449219
569	2,10693359
570	2,08984375
571	2,08984375
572	2,11425781
573	2,14355469
574	2,11425781
575	2,10205078
576	2,11914063
577	2,10693359
578	2,12646484
579	2,12158203
580	2,16552734
581	2,17285156
582	2,18017578
583	2,18017578
584	2,1484375
585	2,15820313
586	2,16064453
587	2,15820313
588	2,14355469
589	2,12646484
590	2,13378906
591	2,1484375
592	2,14355469
593	2,15820313
594	2,14355469
595	2,12890625
596	2,1484375
597	2,17773438
598	2,20947266
599	2,15576172
600	2,12402344
601	2,13378906
602	2,14599609
603	2,13867188
604	2,13378906
605	2,23632813
606	2,25097656
607	2,23144531
608	2,17285156
609	2,19726563
610	2,21435547
611	2,21679688
612	2,24121094
613	2,20703125
614	2,22167969
615	2,21923828
616	2,18994141
617	2,21191406
618	2,26318359
619	2,26806641
620	2,23876953
621	2,25585938
622	2,25341797
623	2,24853516
624	2,22900391
625	2,29492188
626	2,24365234
627	2,25585938
628	2,23388672
629	2,26318359
630	2,23388672
631	2,27294922
632	2,32910156
633	2,32421875
634	2,27539063
635	2,33642578
636	2,34863281
637	2,26806641
638	2,25097656
639	2,23632813
640	2,25097656
641	2,25097656
642	2,20703125
643	2,23876953
644	2,29980469
645	2,32421875
646	2,28759766
647	2,31689453
648	2,28027344
649	2,32666016
650	2,39013672
651	2,34619141
652	2,33886719
653	2,34130859
654	2,33154297
655	2,30712891
656	2,28759766
657	2,31933594
658	2,29248047
659	2,32666016
660	2,28271484
661	2,31201172
662	2,27783203
663	2,31445313
664	2,32421875
665	2,31201172
666	2,30712891
667	2,29492188
668	2,31933594
669	2,34130859
670	2,35351563
671	2,39746094
672	2,39013672
673	2,40478516
674	2,37548828
675	2,44384766
676	2,36816406
677	2,39257813
678	2,35351563
679	2,421875
680	2,34619141
681	2,32666016
682	2,31933594
683	2,37304688
684	2,37792969
685	2,37548828
686	2,37792969
687	2,37304688
688	2,39501953
689	2,39013672
690	2,37304688
691	2,31445313
692	2,36328125
693	2,32910156
694	2,34130859
695	2,37792969
696	2,35107422
697	2,28027344
698	2,35107422
699	2,41699219
700	2,39746094
701	2,38769531
702	2,39013672
703	2,32177734
704	2,32177734
705	2,33642578
706	2,35107422
707	2,35595703
708	2,33886719
709	2,36572266
710	2,32666016
711	2,33154297
712	2,32421875
713	2,33398438
714	2,36083984
715	2,36083984
716	2,34130859
717	2,34130859
718	2,35839844
719	2,34619141
720	2,33398438
721	2,33154297
722	2,32666016
723	2,36572266
724	2,34130859
725	2,33154297
726	2,30224609
727	2,24121094
728	2,27294922
729	2,27539063
730	2,29492188
731	2,25585938
732	2,28759766
733	2,25830078
734	2,27539063
735	2,27294922
736	2,27050781
737	2,27050781
738	2,25341797
739	2,26074219
740	2,26074219
741	2,25341797
742	2,24609375
743	2,22900391
744	2,21923828
745	2,16308594
746	2,1484375
747	2,11669922
748	2,12646484
749	2,12402344
750	2,15820313
751	2,13867188
752	2,16064453
753	2,0703125
754	2,05078125
755	2,07763672
756	2,01416016
757	2,03857422
758	2,05810547
759	2,11425781
760	2,11181641
761	2,0703125
762	1,97509766
763	1,98242188
764	1,89453125
765	1,87255859
766	1,88232422
767	1,89941406
768	1,87011719
769	1,89697266
770	1,90673828
771	1,82861328
772	1,87255859
773	1,88720703
774	1,86035156
775	1,91162109
776	1,93847656
777	1,82373047
778	1,76025391
779	1,7578125
780	1,80664063
781	1,81152344
782	1,82373047
783	1,79931641
784	1,69921875
785	1,59667969
786	1,56738281
787	1,55273438
788	1,5625
789	1,55273438
790	1,5234375
791	1,52099609
792	1,49902344
793	1,46240234
794	1,43310547
795	1,37695313
796	1,36962891
797	1,69921875
798	1,84082031
799	1,85546875
800	1,78222656
801	1,72851563
802	1,66259766
803	1,63085938
804	1,76269531
805	1,81152344
806	1,84814453
807	1,84570313
808	1,81396484
809	1,85546875
810	1,90185547
811	1,89941406
812	1,92138672
813	1,91650391
814	1,91650391
815	1,94335938
816	1,93603516
817	1,92626953
818	1,953125
819	1,95556641
820	1,93603516
821	1,94335938
822	1,94580078
823	1,96533203
824	1,97021484
825	1,97753906
826	1,97265625
827	1,97509766
828	1,97998047
829	1,98242188
830	1,97265625
831	1,92626953
832	1,92382813
833	1,98486328
834	1,99462891
835	1,94091797
836	1,97509766
837	1,99707031
838	1,98242188
839	1,98486328
840	1,97509766
841	1,96777344
842	1,98974609
843	1,98974609
844	1,97753906
845	1,96044922
846	1,97509766
847	1,97509766
848	1,97265625
849	1,98486328
850	1,96777344
851	1,97509766
852	1,96777344
853	1,9921875
854	1,98242188
855	1,94824219
856	1,98242188
857	1,97265625
858	1,98730469
859	2,01904297
860	2,00927734
861	2,00683594
862	2,00439453
863	2,02636719
864	2,01416016
865	2,02392578
866	2,03857422
867	2,02636719
868	2,02148438
869	2,02636719
870	2,06542969
871	2,0703125
872	2,05566406
873	2,08007813
874	2,12402344
875	2,11669922
876	2,07763672
877	2,07519531
878	2,11181641
879	2,109375
880	2,11181641
881	2,06542969
882	2,09228516
883	2,08007813
884	2,06542969
885	2,07519531
886	2,05322266
887	2,08007813
888	2,05810547
889	2,08496094
890	2,15332031
891	2,11914063
892	2,12158203
893	2,13134766
894	2,11669922
895	2,10693359
896	2,16064453
897	2,16064453
898	2,15820313
899	2,13378906
900	2,12890625
901	2,11425781
902	2,12402344
903	2,13378906
904	2,09960938
905	2,10449219
906	2,08251953
907	2,09960938
908	2,13867188
909	2,12402344
910	2,13378906
911	2,1484375
912	2,14599609
913	2,13378906
914	2,12646484
915	2,14111328
916	2,17285156
917	2,22167969
918	2,19238281
919	2,14355469
920	2,14355469
921	2,15332031
922	2,17529297
923	2,18017578
924	2,1875
925	2,18994141
926	2,15820313
927	2,16796875
928	2,17285156
929	2,18505859
930	2,17773438
931	2,19238281
932	2,16064453
933	2,15087891
934	2,16796875
935	2,19970703
936	2,17529297
937	2,16308594
938	2,17285156
939	2,19970703
940	2,2265625
941	2,20703125
942	2,21679688
943	2,18994141
944	2,18505859
945	2,20703125
946	2,25830078
947	2,265625
948	2,2265625
949	2,20703125
950	2,29492188
951	2,30957031
